occupation,soc_code
"Therapists, Registered Occupational  ",29-1122
"Therapists, Registered Respiratory  ",29-1126
"Therapists, Respiratory",29-1126
"Therapists, Speech ",29-1127
Thermodynamics Professors,25-1054
Thermostat Repairers,49-9012
Third Rail Installers,49-9097
Thoracic Surgeons,29-1067
"Ticket Agents, Reservation",43-4181
"Ticket Agents, Transportation",43-4181
Ticket Collectors,39-3031
Ticket Takers,39-3031
Tile and Marble Setters,47-2044
Tile and Marble Setters Helpers,47-3011
Tile Setters,47-2044
Timber Cutters,45-4021
Timber Estimators,45-4023
Timber Hands,45-4029
Timber Management Professors,25-1043
Timber Management Specialists,19-1032
Timber Management Technicians,19-4093
Time and Attendance Clerks,43-3051
Time Study Statisticians,15-2041
Time Study Technicians,17-3026
Timekeepers,43-3051
Timekeeping Clerks,43-3051
Timing Device Adjusters,51-2093
Timing Device Assemblers,51-2093
Timing Device Assemblers and Adjusters,51-2093
Tin Recovery Workers,51-4199
Tinsmiths,47-2211
Tire Balancers,49-3093
Tire Builders,51-9197
Tire Changers,49-3093
Tire Fixers,49-3093
Tire Molders,51-9197
Tire Repairers,49-3093
Tire Repairers and Changers,49-3093
Title Abstractors,23-2093
Title Examiners,23-2093
"Title Examiners, Abstractors, and Searchers",23-2093
Title Officers,23-2093
Title Searchers,23-2093
Tobacco Baking Machine Operators,51-3091
Tobacco Baking Machine Tenders,51-3091
Tobacco Buyers,13-1021
Tobacco Drying Machine Operators,51-3091
Tobacco Drying Machine Tenders,51-3091
Tobacco Roasting Machine Operators,51-3091
Tobacco Roasting Machine Tenders,51-3091
Toll Collectors,41-2011
Tool and Die Designers,17-3013
Tool and Die Engineers,17-2141
Tool and Die Makers,51-4110
Tool and Die Makers,51-4111
Tool Crib Attendants,43-5081
Tool Filers,51-4194
Tool Grinders,51-4194
"Tool Grinders, Filers, and Sharpeners",51-4194
Tool Grinding Machine Operators,51-4194
Tool Makers,51-4111
Tool Polishing Machine Operators,51-4033
Tool Sharpeners,51-4194
Top Executives,11-1000
Topographers,17-1021
Torts Law Professors,25-1112
Tour and Travel Guides,39-7000
Tour and Travel Guides,39-7010
Tour Escorts,39-7011
Tour Guides,39-7011
Tour Guides and Escorts,39-7011
Tow Truck Dispatchers,43-5032
Tower Equipment Installers,49-2021
Tower Equipment Repairers,49-2021
Tower Operators,53-7021
Toxicologists,19-1042
Trace Evidence Technicians,19-4092
"Tracers, Blueprint ",17-3019
"Tracers, Skip ",33-9021
Track Patrol,33-3052
Track Repairers,47-4061
Track Surfacing Machine Operators,47-4061
Track Switch Repairers,49-9097
"Trackers, Hurricane ",19-2021
Tractor Operators,45-2091
Tractor Trailer Mechanics,49-3031
Tractor-Trailer Truck Drivers,53-3032
"Traders, Foreign Exchange ",13-2099
"Traders, Securities ",41-3031
Traditional Chinese Herbalists,29-9099
Traffic Clerks,43-5071
Traffic Court Referees,23-1021
Traffic Engineers,17-2051
Traffic Line Painters,47-2141
Traffic Safety Administrators,11-3071
Traffic Sergeants,33-1012
Traffic Signal Technicians,53-6041
Traffic Technicians,53-6040
Traffic Technicians,53-6041
Trailhead Maintenance Workers,37-3019
Train Attendants,53-6061
Train Callers,27-3012
Train Dispatchers,43-5032
Train Engineers,53-4011
Train Reservation Clerks,43-4181
"Trainers, Animal",39-2011
"Trainers, Athletic",29-9091
"Trainers, Boxing ",27-2022
"Trainers, Certified Athletic ",29-9091
"Trainers, Corporate ",13-1151
"Trainers, Fitness",39-9031
"Trainers, Guide Dog ",39-2011
"Trainers, Marine Mammal ",39-2011
"Trainers, Personal ",39-9031
Training and Development Managers,11-3130
Training and Development Managers,11-3131
Training and Development Specialists,13-1150
Training and Development Specialists,13-1151
Training Managers,11-3131
Training Specialists,13-1151
"Training Workers, All Other",25-9099
Tram Operators,53-4041
"Transcribers, Court ",23-2091
"Transcribers, Medical ",31-9094
Transcription Typists,43-9022
"Transcriptionists, Medical",31-9094
"Transcriptionists, Pathology ",31-9094
Transfer Table Operators,53-4099
Transit and Railroad Police,33-3052
Transit Authority Police,33-3052
Transit Police,33-3052
Translators,27-3091
"Transplanters, Greenhouse ",45-2092
Transportation and Material Moving Occupations,53-0000
"Transportation Attendants, Except Flight Attendants",53-6060
"Transportation Attendants, Except Flight Attendants ",53-6061
Transportation Equipment Electrical and Electronics Installers and Repairers,49-2093
Transportation Inspectors,53-6050
Transportation Inspectors,53-6051
"Transportation Machine Operators, First-Line Supervisors",53-1031
Transportation Managers,11-3071
Transportation Security Administration (TSA) Screener Supervisors,33-1099
Transportation Security Administration (TSA) Screeners,33-9093 
Transportation Security Officers,33-9093 
Transportation Security Screeners,33-9093 
Transportation Technicians,53-6041
Transportation Ticket Agents,43-4181
"Transportation Vehicle Operators, First-Line Supervisors",53-1031
"Transportation Workers, All Other",53-6099
"Transportation Workers, Miscellaneous",53-6090
"Transportation, Storage, and Distribution Managers",11-3070
"Transportation, Storage, and Distribution Managers",11-3071
Trappers,45-3021
"Trappers, Bird ",45-3021
"Trappers, Predatory Animal ",45-3021
Trash Collectors,53-7081
Travel Agents,41-3040
Travel Agents,41-3041
Travel Clerks,43-4181
"Travel Experts, Corporate ",41-3041
Travel Guides,39-7012
Travel Service Consultants,41-3041
Tree Farm Contractors,13-1021
Tree Planters,45-4011
Tree Pruners,37-3013
Tree Specialists,37-3013
Tree Surgeons,37-3013
Tree Trimmer Helpers,37-3019
Tree Trimmers,37-3013
Tree Trimmers and Pruners,37-3013
Trench Pipe Layers,47-2151
Tribal Council Members,11-1031
Tribal Judges,23-1023
Trim Saw Operators,51-7041
"Trimmers, Fish",51-3022
"Trimmers, Fur ",51-9031
"Trimmers, Hand",51-9031
"Trimmers, Hedge ",37-3011
"Trimmers, Meat",51-3022
"Trimmers, Poultry",51-3022
"Trimmers, Rubber ",51-9032
"Trimmers, Tree",37-3013
"Trimmers, Window",27-1026
Trolley Car Operators,53-4041
Trolley Car Overhaulers,49-3043
"Troopers, State ",33-3051
Truck Body Repairers,49-3021
"Truck Drivers, Heavy",53-3032
"Truck Drivers, Logging",53-3032
"Truck Drivers, Tractor-Trailer",53-3032
Truck Loaders,53-7121
Truck Mechanics,49-3031
Tugboat Engineers,53-5031
"Tuners, Musical Instrument",49-9063
"Tuners, Piano ",49-9063
"Turning Machine Tool Setters, Metal and Plastic",51-4034
Tutors,25-3099
"Tutors, Autism  ",25-2059
Two-Way Radio Technicians,49-2021
Typists,43-9022
"Typists, Clerk ",43-9022
"Typists, Data ",43-9021
"Typists, Transcription ",43-9022
Ultrasonic Welding Machine Operators,51-4122
Ultrasound Technologists,29-2032
Umpires,27-2023
"Umpires, Referees, and Other Sports Officials",27-2023
Underground Bolting Machine Operators,47-5061
Underground Roof Bolters,47-5061
Undertakers,39-4031
Underwater Welders,49-9092
"Underwriters, Automobile and Property ",13-2053
"Underwriters, Bond ",13-2053
"Underwriters, Insurance",13-2053
"Underwriters, Loan",13-2072
Underwriting Clerks,43-9041
Unemployment Benefits Claims Takers,43-4061
Union Representatives,13-1075
University Administrators,11-9033
"Unloaders, Ship ",53-7121
Upholsterers,51-6093
"Upholsterers, Aircraft Seat ",51-6093
"Upholsterers, Furniture ",51-6093
Urban and Regional Planners,19-3050
Urban and Regional Planners,19-3051
Urban Planners,19-3051
Urban Planning Professors,25-1069
Used Car Salespersons,41-2031
Ushers,39-3031
"Ushers, Lobby Attendants, and Ticket Takers",39-3030
"Ushers, Lobby Attendants, and Ticket Takers",39-3031
"Ushers, Theater ",39-3031
Utilities Managers,11-9199
Utilities Meter Readers,43-5041
Vacuum Cleaner Assemblers,51-2023
Vacuum Cleaner Repairers,49-9031
Valet Parkers,53-6021
Valets,39-9099
Vascular Technologists,29-2031
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",49-3000
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, Miscellaneous",49-3090
Vehicle Damage Appraisers,13-1032
"Vehicles, Cleaners",53-7061
Vending Machine Assemblers,51-2023
Vending Machine Fillers,49-9091
Vending Machine Repairers,49-9091
Vending Machine Servicers,49-9091
"Vendors, News",41-9091
"Vendors, Souvenir Street ",41-9091
"Vendors, Street",41-9091
Veneer Graders,45-4023
Venipuncturists,31-9097
Vergers,21-2099
Vest Makers,51-6052
Veterans Rehabilitation Counselors,21-1015
Veterans Service Officers,21-1099
Veterinarian Helpers,31-9096
Veterinarians,29-1130
Veterinarians,29-1131
"Veterinarians, Wildlife ",29-1131
Veterinary Assistants,31-9096
Veterinary Assistants and Laboratory Animal Caretakers,31-9096
Veterinary Attendants,31-9096
Veterinary Laboratory Technicians,29-2056
Veterinary Medicine Scientists,29-1131
"Veterinary Medicine, Doctors of (DVM)",29-1131
Veterinary Surgery Technologists,29-2056
Veterinary Technicians,29-2056
Veterinary Technologists,29-2056
Veterinary Technologists and Technicians,29-2056
Veterinary X-Ray Operators,29-2056
Vibratory Pile Drivers,47-2072
Video Camera Operators,27-4031
Video Control Operators,27-4011
Video Editors,27-4032
Video Equipment Technicians,27-4011
Video Production Assistants,27-4011
"Videographers, News ",27-4031
Violin Repairers,49-9063
Virologists,19-1022
Vocational Counselors,21-1012
"Vocational Education Teachers, Postsecondary",25-1194
Vocational Psychologists,19-3031
Vocational Rehabilitation Counselors,21-1015
Voice-Over Artists,27-2011
Volcanologists,19-2042
Wafer Fabricators,51-9141
Wage and Salary Administrators,11-3111
Waiters,35-3031
Waiters and Waitresses,35-3030
Waiters and Waitresses,35-3031
Waitresses,35-3031
Wall Covering Installers,47-2142
Wall Tapers,47-2082
Wallpaperer Helpers,47-3014
Wallpaperers,47-2142
Wall-to-Wall Carpet Installers,47-2041
"Wardens, Animal ",33-9011
"Wardens, Fish",33-3031
"Wardens, Game",33-3031
Wardrobe Attendants,39-3092
Warehouse Clerks,43-5081
Warehouse Managers,11-3071
Warehouse Supervisors,53-1021
Warrant Clerks,43-4031
Warrant Servers,33-9099
Warranty Clerks,43-4051
"Washers, Brick ",47-3011
"Washers, Building Pressure ",37-2019
"Washers, Window ",37-2011
Washing Equipment Operators,51-9192
Washing Equipment Tenders,51-9192
Washing Machine Installers,49-9031
Washroom Attendants,39-3093
Waste Minimization Technicians,19-4091
Wastewater Treatment Plant Operators,51-8031
Wastewater Treatment System Operators,51-8031
Watch Repairers,49-9064
Watch Technicians,49-9064
Watchmakers,49-9064
Water and Wastewater Treatment Plant and System Operators,51-8030
Water and Wastewater Treatment Plant and System Operators,51-8031
Water Main Installer Helpers,47-3015
Water Main Pipe Layers,47-2151
Water Meter Readers,43-5041
Water Pollution Scientists,19-2041
Water Taxi Operators,53-5022
Water Transportation Workers,53-5000
Water Treatment Plant Engineers,17-2081
Water Treatment Plant Operators,51-8031
Water Treatment System Operators,51-8031
"Water Vessels, Pilots",53-5021
Watercraft Service Attendants,53-6031
Waterproofers,47-4099
Wax Pattern Coaters,51-4071
"Weapons Specialists/Crew Members, First-Line Supervisors",55-2012
Weavers,51-6051
"Weavers, Jacquard Loom ",51-6063
Weaving Professors,25-1192
Web Designers,15-1134
Web Developers,15-1134
Web Press Operators,51-5112
Wedding Photographers,27-4021
Wedding Planners,13-1121
Weed Sprayers,37-3012
Weighers,51-9061
"Weighers, Cheese ",43-5111
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5110
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111
"Weighers, Recordkeeping",43-5111
Weighing Station Operators,43-5111
Welder Helpers,51-9198
Welders,51-4121
"Welders, Arc ",51-4121
"Welders, Cutters, Solderers, and Brazers",51-4121
"Welders, Pipe ",51-4121
"Welders, Underwater ",49-9092
Welding Engineers,17-2131
Welding Machine Operators,51-4122
Welding Machine Setters,51-4122
Welding Machine Tenders,51-4122
Welding Robot Operators,51-4011
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122
"Welding, Soldering, and Brazing Workers",51-4120
Well Service Derrick Workers,47-5011
Well Servicing Rig Operators,47-5013
Wellhead Pumpers,53-7073
Welt Trimming Machine Operators,51-6062
Wetlands Conservation Laborers,45-4011
Wharf Laborers,53-7062
"Wholesale and Retail Buyers, Except Farm Products",13-1022
"Wholesale Buyers, Except Farm Products",13-1022
Wholesale Diamond Brokers,41-4012
Wholesale Merchandising Managers,11-3061
Wholesale Procurement Managers,11-3061
Wholesale Ultrasonic Equipment Salespersons,41-4011
Wide Area Network Administrators,15-1142
Wig Stylists,39-5012
Wild Oyster Harvesters,45-3011
Wildfire Prevention Specialists,33-2022
Wildlife and Game Protectors,33-3031
Wildlife Biologists,19-1023
Wildlife Conservation Professors,25-1043
Wildlife Officers,33-3031
Wildlife Technicians,19-4021
Wildlife Veterinarians,29-1131
Winch Derrick Operators,53-7041
Winch Operators,53-7041
Wind Energy Technicians,49-9081
Wind Tunnel Technicians,17-3021
Wind Turbine Erectors,47-2221
Wind Turbine Mechanics,49-9081
Wind Turbine Service Technicians,49-9080
Wind Turbine Service Technicians,49-9081
"Winders, Coil",51-2021
"Winders, Motor ",51-2021
Window Air Conditioner Installers,49-9031
Window Decorators,27-1026
Window Trimmers,27-1026
Window Washers,37-2011
Windshield Installers,49-3022
Wine Stewards,35-3031
Wire Coilers,51-2021
Wire Drawing Machine Tenders,51-4021
Wire Fence Builders,47-4031
Wire Temperers,51-4191
Wireless Internet Installers,49-2097
"Wirers, Electrical Sign ",47-2111
Women's Apparel Salespersons,41-2031
Women's Studies Professors,25-1062
Wood Cabinet Finishers,51-7021
Wood Carvers,51-7099
Wood Casket Assemblers,51-7099
Wood Die Makers,51-7032
Wood Dowel Machine Operators,51-7042
Wood Fence Installers,47-4031
Wood Floor Layers,47-2031
Wood Furniture Assemblers,51-7011
Wood Jig Builders,51-7031
Wood Lathe Operators,51-7042
Wood Model Makers,51-7031
Wood Patternmakers,51-7032
Wood Planers,51-7042
"Wood Sawing Machine Setters, Operators, and Tenders",51-7041
Woodworkers,51-7000
"Woodworkers, All Other",51-7099
"Woodworkers, Miscellaneous",51-7090
"Woodworking Machine Operators, Except Sawing",51-7042
"Woodworking Machine Setters, Except Sawing",51-7042
"Woodworking Machine Setters, Operators, and Tenders",51-7040
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042
"Woodworking Machine Tenders, Except Sawing",51-7042
Wool Pressers,51-6021
Word Processors,43-9022
Word Processors and Typists,43-9022
"Worker, Kennel ",39-2021
"Workers, Administrative Support, All Other",43-9199
"Workers, Agricultural, All Other",45-2099
"Workers, Animal Control",33-9011
"Workers, Animal Shelter ",39-2021
"Workers, Apparel, All Other",51-6099
"Workers, Asbestos Abatement ",47-4041
"Workers, Building Cleaning, All Other",37-2019
"Workers, Child Abuse ",21-1021
"Workers, Childcare",39-9011
"Workers, Coating",51-9123
"Workers, Communication Equipment, All Other",27-4099
"Workers, Communication, All Other",27-3099
"Workers, Community Health",21-1094
"Workers, Community Organization",21-1099
"Workers, Conservation",45-4011
"Workers, Dairy Husbandry ",45-2021
"Workers, Decontamination ",47-4041
"Workers, Decorating",51-9123
"Workers, Dish Room ",35-9021
"Workers, Door-to-Door Sales",41-9091
"Workers, Driver/Sales",53-3031
"Workers, Dry-Cleaning",51-6011
"Workers, Education, All Other",25-9099
"Workers, Entertainment Related, All Other",39-3099
"Workers, Explosives",47-5031
"Workers, Extraction, All Other",47-5099
"Workers, Food Preparation",35-2021
"Workers, Food Preparation, All Other",35-9099
"Workers, Food Processing, All Other",51-3099
"Workers, Food Serving Related, All Other",35-9099
"Workers, Forest",45-4011
"Workers, Foster Care ",21-1021
"Workers, Furnishings, All Other",51-6099
"Workers, Gaming Cage",43-3041
"Workers, Gaming Service, All Other",39-3019
"Workers, Grinding, Hand",51-9022
"Workers, Grounds Maintenance, All Other",37-3019
"Workers, Groundskeeping",37-3011
"Workers, Hazardous Materials Removal",47-4041
"Workers, Healthcare Technical, All Other",29-9099
"Workers, Healthcare Support, All Other",31-9099
"Workers, Highway Maintenance",47-4051
"Workers, Hospital Food Service ",35-3041
"Workers, Human Services ",21-1093
"Workers, Installation, All Other",49-9099
"Workers, Interior Surface Insulation ",47-2131
"Workers, Irrigation ",45-2099
"Workers, Landscaping",37-3011
"Workers, Laundry",51-6011
"Workers, Leather",51-6041
"Workers, Legal Support, All Other",23-2099
"Workers, Library, All Other",25-9099
"Workers, Logging, All Other",45-4029
